AirportName,reason,cancelcount
"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",Weather,1
"Hilton Head, SC: Hilton Head Airport",Weather,16
"Honolulu, HI: Daniel K Inouye International",Carrier,12
"Hobbs, NM: Lea County Regional",Weather,2
"Houston, TX: William P Hobby",Weather,110
"White Plains, NY: Westchester County",Weather,24
"Harlingen/San Benito, TX: Valley International",Weather,5
"Huntsville, AL: Huntsville International-Carl T Jones Field",Weather,6
"Ashland, WV: Tri-State/Milton J. Ferguson Field",Weather,1
"Washington, DC: Washington Dulles International",Weather,37
"Niagara Falls, NY: Niagara Falls International",Weather,1
"Houston, TX: George Bush Intercontinental/Houston",Weather,508
"Wichita, KS: Wichita Dwight D Eisenhower National","National Air System",8
"Wilmington, NC: Wilmington International",Weather,42
"Indianapolis, IN: Indianapolis International",Weather,34
"Williston, ND: Sloulin Field International",Weather,1
"Islip, NY: Long Island MacArthur",Weather,13
"Hilo, HI: Hilo International",Carrier,1
"Jackson, WY: Jackson Hole",Weather,1
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Weather,11
"Jacksonville, FL: Jacksonville International",Weather,135
"New York, NY: John F. Kennedy International",Weather,65
"Joplin, MO: Joplin Regional","National Air System",2
"Juneau, AK: Juneau International",Weather,1
"CONCORD, NC: Concord Padgett Regional",Weather,8
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,1
"Ketchikan, AK: Ketchikan International",Carrier,1
"Ketchikan, AK: Ketchikan International",Weather,1
"Las Vegas, NV: McCarran International",Weather,54
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Carrier,1
"Los Angeles, CA: Los Angeles International",Carrier,63
"Lubbock, TX: Lubbock Preston Smith International","National Air System",8
"Latrobe, PA: Arnold Palmer Regional",Weather,9
"Lake Charles, LA: Lake Charles Regional",Weather,4
"Columbus, OH: Rickenbacker International",Weather,2
"Lexington, KY: Blue Grass","National Air System",5
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,8
"New York, NY: LaGuardia",Weather,113
"Long Beach, CA: Long Beach Airport",Carrier,2
"Lihue, HI: Lihue Airport",Carrier,2
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Weather,8
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field","National Air System",8
"Lincoln, NE: Lincoln Airport",Weather,1
"Lincoln, NE: Lincoln Airport","National Air System",1
"Laredo, TX: Laredo International","National Air System",3
"Laredo, TX: Laredo International",Weather,3
"La Crosse, WI: La Crosse Regional",Weather,2
"La Crosse, WI: La Crosse Regional","National Air System",2
"Lewisburg, WV: Greenbrier Valley","National Air System",2
"Lewisburg, WV: Greenbrier Valley",Weather,2
"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",Carrier,2
"Midland/Odessa, TX: Midland International Air and Space Port",Weather,8
"Saginaw/Bay City/Midland, MI: MBS International",Weather,4
"Kansas City, MO: Kansas City International",Weather,36
"Orlando, FL: Orlando International",Weather,739
"Harrisburg, PA: Harrisburg International",Weather,5
"Chicago, IL: Chicago Midway International",Weather,191
"Meridian, MS: Key Field",Weather,1
"Memphis, TN: Memphis International",Weather,14
"Mission/McAllen/Edinburg, TX: McAllen Miller International","National Air System",7
"Medford, OR: Rogue Valley International - Medford","National Air System",12
"Montgomery, AL: Montgomery Regional",Carrier,1
"Manhattan/Ft. Riley, KS: Manhattan Regional","National Air System",4
"Manchester, NH: Manchester-Boston Regional",Weather,5
"Miami, FL: Miami International",Weather,105
"Milwaukee, WI: General Mitchell International",Weather,13
"Muskegon, MI: Muskegon County",Weather,1
"Melbourne, FL: Melbourne International",Weather,19
"Moline, IL: Quad City International",Weather,5
"Monroe, LA: Monroe Regional",Weather,2
"Mammoth Lakes, CA: Mammoth Lakes Airport",Weather,4
"Mobile, AL: Mobile Regional",Weather,3
"Mobile, AL: Mobile Regional","National Air System",3
"Monterey, CA: Monterey Regional","National Air System",3
"Madison, WI: Dane County Regional-Truax Field","National Air System",12
"Missoula, MT: Missoula International","National Air System",2
"Minneapolis, MN: Minneapolis-St Paul International",Weather,36
"New Orleans, LA: Louis Armstrong New Orleans International",Weather,42
"Montrose/Delta, CO: Montrose Regional",Carrier,2
"Martha's Vineyard, MA: Martha's Vineyard Airport",Carrier,1
"Myrtle Beach, SC: Myrtle Beach International",Weather,60
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",Weather,9
"Oakland, CA: Metropolitan Oakland International",Carrier,25
"Kahului, HI: Kahului Airport",Carrier,2
"Ogdensburg, NY: Ogdensburg International",Weather,1
"Oklahoma City, OK: Will Rogers World",Weather,17
"Omaha, NE: Eppley Airfield","National Air System",13
"Ontario, CA: Ontario International","National Air System",29
"Chicago, IL: Chicago O'Hare International",Weather,518
"Norfolk, VA: Norfolk International",Weather,87
"Worcester, MA: Worcester Regional",Weather,2
"North Bend/Coos Bay, OR: Southwest Oregon Regional",Weather,3
"Everett, WA: Snohomish County","National Air System",10
"Paducah, KY: Barkley Regional","National Air System",2
"Plattsburgh, NY: Plattsburgh International",Weather,3
