Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,MyUnknownColumn
2019,3,9,5,4,2019-09-05,DL,19790,DL,N971DL,1828,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,0828,,0,0,0,0,0800-0859,0,,,0,0931,,0,0,0,0,0900-0959,1,B,0,63,0,0,1,214,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N971DL,1828,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1015,,0,0,0,0,1000-1059,0,,,0,1118,,0,0,0,0,1100-1159,1,B,0,63,0,0,1,214,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N919DN,1923,11252,1125203,31252,DAB,"Daytona Beach, FL",FL,12,Florida,33,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0600,,0,0,0,0,0600-0659,0,,,0,0721,,0,0,0,0,0700-0759,1,B,0,81,0,0,1,366,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N991DL,1955,10994,1099402,30994,CHS,"Charleston, SC",SC,45,"South Carolina",37,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0705,,0,0,0,0,0700-0759,0,,,0,0816,,0,0,0,0,0800-0859,1,B,0,71,0,0,1,259,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N990DL,1971,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10994,1099402,30994,CHS,"Charleston, SC",SC,45,"South Carolina",37,1759,,0,0,0,0,1700-1759,0,,,0,1906,,0,0,0,0,1900-1959,1,B,0,67,0,0,1,259,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N6703D,1993,12451,1245102,31136,JAX,"Jacksonville, FL",FL,12,Florida,33,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0730,,0,0,0,0,0700-0759,0,,,0,0848,,0,0,0,0,0800-0859,1,B,0,78,0,0,1,270,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N912DE,2004,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,45,"South Carolina",37,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0600,,0,0,0,0,0600-0659,0,,,0,0717,,0,0,0,0,0700-0759,1,B,0,77,0,0,1,317,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N993DL,2041,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,0955,,0,0,0,0,0900-0959,0,,,0,1055,,0,0,0,0,1000-1059,1,B,0,60,0,0,1,214,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N993DL,2041,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1140,,0,0,0,0,1100-1159,0,,,0,1250,,0,0,0,0,1200-1259,1,B,0,70,0,0,1,214,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N971DL,2145,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0630,,0,0,0,0,0600-0659,0,,,0,0735,,0,0,0,0,0700-0759,1,B,0,65,0,0,1,214,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N6716C,2442,12451,1245102,31136,JAX,"Jacksonville, FL",FL,12,Florida,33,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0630,,0,0,0,0,0600-0659,0,,,0,0740,,0,0,0,0,0700-0759,1,B,0,70,0,0,1,270,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N907DL,2472,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10994,1099402,30994,CHS,"Charleston, SC",SC,45,"South Carolina",37,1351,,0,0,0,0,1300-1359,0,,,0,1501,,0,0,0,0,1500-1559,1,B,0,70,0,0,1,259,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N907DL,2472,10994,1099402,30994,CHS,"Charleston, SC",SC,45,"South Carolina",37,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1545,,0,0,0,0,1500-1559,0,,,0,1700,,0,0,0,0,1700-1759,1,B,0,75,0,0,1,259,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N948AT,2498,10994,1099402,30994,CHS,"Charleston, SC",SC,45,"South Carolina",37,12478,1247805,31703,JFK,"New York, NY",NY,36,"New York",22,1125,,0,0,0,0,1100-1159,0,,,0,1327,,0,0,0,0,1300-1359,1,B,0,122,0,0,1,636,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N948AT,2498,12478,1247805,31703,JFK,"New York, NY",NY,36,"New York",22,10994,1099402,30994,CHS,"Charleston, SC",SC,45,"South Carolina",37,0830,,0,0,0,0,0800-0859,0,,,0,1046,,0,0,0,0,1000-1059,1,B,0,136,0,0,1,636,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N992DL,2507,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0730,,0,0,0,0,0700-0759,0,,,0,0843,,0,0,0,0,0800-0859,1,B,0,73,0,0,1,214,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,5,4,2019-09-05,DL,19790,DL,N964DL,2575,10994,1099402,30994,CHS,"Charleston, SC",SC,45,"South Carolina",37,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0600,,0,0,0,0,0600-0659,0,,,0,0703,,0,0,0,0,0700-0759,1,B,0,63,0,0,1,259,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
